booth,x,y
BRAZE,1945.4874267578125,1209.199951171875
liveseo,1563.4876708984375,1346.199951171875
selia,1604.4876098632812,1330.0999755859375
fullservice,1604.4876098632812,1330.0999755859375
Curseduca,1563.4859619140625,1314.5999755859375
seconds,1044.4838256835938,1573.9122314453125
ADOPT,1064.0123291015625,1552.9122314453125
e-goi,1064.0123291015625,1552.9122314453125
minders,1122.20849609375,1573.9122314453125
base,1122.20849609375,1573.9122314453125
bling,1227.3133544921875,1552.4122314453125
hibrido,1227.3133544921875,1552.4122314453125
fintech,1227.3133544921875,1552.4122314453125
apps flyer,1286.498046875,1573.9122314453125
KONCILI,1365.7297973632812,1552.756103515625
PREDIZe,1365.7297973632812,1552.756103515625
CONEXA,1403.4907836914062,1573.5999755859375
DOOTAX,1444.4885864257812,1551.5999755859375
SKEPS,1328.8552856445312,1573.756103515625
NEMU,1328.8552856445312,1573.756103515625
STRATIS,1086.4871826171875,1119.4000244140625
SLEEKF,1044.4910888671875,1119.0999755859375
LOW,1044.4910888671875,1119.0999755859375
